trial,task_size,local_time,edge_total_time,access_time,key_time,task_time
3,16,0.10765059999999949,0.06224279999999993,4.0500000000776026e-05,1.9399999999336615e-05,0.06218289999999982
3,32,0.19849420000000073,0.10728540000000031,3.439999999965693e-05,1.750000000022567e-05,0.10723350000000043
4,2,0.015060199999999746,0.014968199999999321,3.2000000000032e-05,1.7899999999571037e-05,0.014918299999999718
4,4,0.030732099999999818,0.01508239999999983,3.500000000045134e-05,2.030000000008414e-05,0.015027099999999294
4,8,0.06087579999999981,0.031831799999999966,3.390000000003113e-05,1.7399999999945237e-05,0.03178049999999999
4,16,0.10758940000000017,0.06250550000000032,5.4700000000629245e-05,1.9399999999336615e-05,0.06243140000000036
4,32,0.2015716999999997,0.10754890000000028,5.390000000016215e-05,3.080000000021954e-05,0.1074641999999999
5,2,0.015483200000000252,0.014541599999999377,3.469999999961004e-05,2.5700000000128398e-05,0.014481199999999639
5,4,0.02984530000000074,0.015460399999999375,4.3599999999699435e-05,2.3999999999801958e-05,0.015392799999999873
5,8,0.061189099999999996,0.03127559999999985,3.399999999942338e-05,1.8500000000365446e-05,0.03122310000000006
5,16,0.10860610000000026,0.06077810000000028,5.390000000016215e-05,2.8900000000220416e-05,0.0606952999999999
5,32,0.2004747,0.10901030000000045,3.3199999999844465e-05,1.8600000000645878e-05,0.10895849999999996
6,2,0.015685200000000066,0.015264499999999792,4.1899999999372994e-05,2.089999999999037e-05,0.015201700000000429
6,4,0.03036500000000064,0.015852999999999895,6.729999999954828e-05,2.190000000013015e-05,0.015763800000000217
6,8,0.06294130000000031,0.030593999999999788,3.790000000059024e-05,1.919999999966393e-05,0.030536899999999534
6,16,0.10861710000000002,0.06132839999999984,4.239999999988697e-05,1.970000000017791e-05,0.061266299999999774
6,32,0.2003023000000006,0.10568460000000002,3.889999999984184e-05,1.6200000000132775e-05,0.10562950000000004
7,2,0.016060000000000407,0.015343899999999522,4.539999999941813e-05,2.480000000026905e-05,0.015273699999999835
7,4,0.030523200000000195,0.015411400000000519,3.400000000031156e-05,1.929999999994436e-05,0.015358100000000263
7,8,0.06316860000000002,0.031007899999999644,3.4799999999890474e-05,1.85999999997577e-05,0.030954499999999996
7,16,0.10797070000000009,0.06274469999999965,3.5899999999422505e-05,1.970000000017791e-05,0.06268910000000005
7,32,0.20134840000000054,0.10894959999999987,5.319999999997549e-05,2.8599999999379122e-05,0.10886780000000051
8,2,0.015337200000000273,0.015091099999999358,3.609999999998337e-05,1.7799999999290606e-05,0.015037200000000084
8,4,0.03019779999999983,0.0151173,5.340000000053635e-05,2.7900000000080638e-05,0.015035999999999383
8,8,0.06208879999999972,0.031232500000000663,3.91000000004027e-05,1.7899999999571037e-05,0.03117550000000069
8,16,0.10690799999999978,0.062262999999999735,3.509999999984359e-05,1.8900000000598993e-05,0.06220899999999929
8,32,0.19807780000000008,0.10855060000000005,3.6500000000216914e-05,1.759999999961792e-05,0.10849650000000022
9,2,0.015054799999999702,0.015349399999999847,3.629999999965605e-05,1.7800000000178784e-05,0.015295300000000012
9,4,0.031470200000000226,0.01581689999999991,3.509999999984359e-05,1.9400000000224793e-05,0.015762399999999843
9,8,0.060587800000000414,0.03021690000000099,3.370000000035844e-05,1.7299999999664806e-05,0.030165900000000967
9,16,0.10721060000000016,0.061526699999999934,5.899999999847694e-05,2.930000000134214e-05,0.061438400000000115
9,32,0.2006622999999994,0.10854849999999949,3.449999999993736e-05,1.6699999999758575e-05,0.1084972999999998
10,2,0.015081500000000858,0.015152199999999283,3.4400000000545106e-05,1.8199999999524152e-05,0.015099599999999214
10,4,0.03034979999999976,0.01505490000000087,5.770000000104858e-05,2.7699999998631597e-05,0.01496950000000119
10,8,0.06251379999999962,0.030650500000000136,3.899999999923409e-05,2.019999999980371e-05,0.030591300000001098
10,16,0.10663030000000084,0.061813599999998914,3.6399999999048305e-05,2.079999999970994e-05,0.061756400000000156
10,32,0.1994056999999998,0.10819530000000022,3.759999999886077e-05,2.260000000120499e-05,0.10813510000000015
11,2,0.015163399999998717,0.015383500000000438,3.509999999984359e-05,1.9599999999897477e-05,0.015328800000000697
11,4,0.03104339999999972,0.021200699999999628,4.239999999988697e-05,2.2899999999381748e-05,0.02113540000000036
11,8,0.05550499999999836,0.031535800000000336,6.30000000008124e-05,3.629999999965605e-05,0.03143649999999987
11,16,0.10758459999999914,0.061870600000000664,3.7200000001291755e-05,2.0399999998588214e-05,0.061813000000000784
11,32,0.20297489999999918,0.10835740000000094,3.419999999998424e-05,2.190000000013015e-05,0.10830130000000082
12,2,0.015647600000001205,0.014969100000000068,3.3800000000638875e-05,1.8199999999524152e-05,0.014917099999999905
12,4,0.030735800000000424,0.015075200000000066,3.6500000000216914e-05,1.929999999994436e-05,0.015019399999999905
12,8,0.06140599999999985,0.03038029999999914,4.7399999999697684e-05,2.579999999952065e-05,0.03030709999999992
12,16,0.10590679999999963,0.06121249999999989,4.159999999941988e-05,2.0600000000925434e-05,0.06115029999999955
12,32,0.20111859999999915,0.10740099999999941,5.15999999990413e-05,2.2799999999989495e-05,0.10732660000000038
13,2,0.015148300000001669,0.0159596999999998,3.5299999998628095e-05,1.7900000001347394e-05,0.015906499999999824
13,4,0.0311388000000008,0.015101899999999446,3.740000000007626e-05,1.8400000000085015e-05,0.015046099999999285
13,8,0.06146609999999875,0.031033899999998837,6.159999999866272e-05,3.15000000004062e-05,0.03094079999999977
13,16,0.1074339000000002,0.06127030000000033,6.050000000001887e-05,3.410000000059199e-05,0.06117569999999972
13,32,0.20077639999999874,0.10867800000000116,3.250000000143416e-05,1.8299999998916405e-05,0.10862720000000081
14,2,0.015377100000000254,0.015972999999998905,3.4699999998721864e-05,1.8000000000739647e-05,0.015920299999999443
14,4,0.03078940000000152,0.015092499999999731,3.5900000000310683e-05,1.7800000000178784e-05,0.015038799999999242
14,8,0.06163520000000133,0.03158080000000041,3.9799999999701186e-05,1.8000000000739647e-05,0.03152299999999997
14,16,0.10750389999999932,0.061659999999999826,3.4900000001059084e-05,1.8299999998916405e-05,0.06160679999999985
14,32,0.20060029999999962,0.10724309999999981,3.770000000002938e-05,2.689999999994086e-05,0.10717849999999984
15,2,0.015040400000000176,0.015318600000000515,3.970000000030893e-05,1.9499999998728867e-05,0.015259400000001477
15,4,0.031077500000000313,0.014969999999999928,4.38000000002603e-05,2.0899999999102192e-05,0.014905300000000565
15,8,0.06166499999999964,0.03114029999999879,3.669999999900142e-05,1.9500000000505224e-05,0.031084099999999282
15,16,0.11011479999999985,0.06179649999999981,4.060000000016828e-05,1.9399999999336615e-05,0.061736500000000305
15,32,0.2005669000000001,0.10699259999999988,3.779999999942163e-05,2.079999999970994e-05,0.10693400000000075
16,2,0.014837500000000503,0.015296700000000385,4.930000000058499e-05,2.5100000000222167e-05,0.015222299999999578
16,4,0.030639300000000702,0.015262599999999793,5.3999999998666226e-05,2.7300000001062585e-05,0.015181300000000064
16,8,0.06266460000000151,0.03032400000000024,5.879999999969243e-05,3.120000000045309e-05,0.030234000000000094
16,16,0.10739380000000054,0.060779399999999484,3.399999999942338e-05,1.6799999999150828e-05,0.06072860000000091
16,32,0.19966669999999986,0.10887690000000028,4.3700000000868044e-05,3.489999999928273e-05,0.10879830000000013
17,2,0.016347100000000836,0.014595500000000428,4.209999999993386e-05,2.0499999999756824e-05,0.014532900000000737
17,4,0.0303671000000012,0.0150307999999999,3.3699999999470265e-05,2.3900000000409705e-05,0.01497320000000002
17,8,0.06211829999999985,0.03127970000000069,4.240000000166333e-05,1.7699999999010174e-05,0.031219600000000014
17,16,0.10673159999999982,0.06064809999999987,3.5399999999796705e-05,1.770000000078653e-05,0.06059499999999929
17,32,0.20019519999999957,0.10740930000000048,3.7100000000123146e-05,1.7899999999571037e-05,0.10735430000000079
18,2,0.015285399999999782,0.01598249999999979,3.560000000035757e-05,1.8999999999991246e-05,0.01592789999999944
18,4,0.030398899999999784,0.015835199999999716,3.4699999998721864e-05,2.0600000000925434e-05,0.01577990000000007
18,8,0.06139710000000065,0.030961500000000086,3.319999999895629e-05,1.880000000120674e-05,0.030909499999999923
18,16,0.10705860000000023,0.06099490000000074,3.470000000049822e-05,1.6699999999758575e-05,0.06094350000000048
18,32,0.20199899999999893,0.10812009999999894,4.809999999899617e-05,2.1100000001439412e-05,0.1080508999999985
19,2,0.015105000000000146,0.015055999999999514,3.410000000059199e-05,1.7699999999010174e-05,0.015004199999999912
19,4,0.03033779999999986,0.014909300000001124,3.370000000124662e-05,1.7800000000178784e-05,0.014857799999999699
19,8,0.062436899999999795,0.03085570000000004,4.199999999876525e-05,1.7800000000178784e-05,0.030795900000001097
19,16,0.10844009999999926,0.061661599999998984,3.489999999928273e-05,1.71000000008803e-05,0.06160959999999882
19,32,0.19964650000000006,0.10801939999999988,3.929999999918721e-05,2.1000000000270802e-05,0.10795910000000042
