trial,batch_size,success_count,total_time,avg_time,throughput
8,10,10,0.0010293999999999581,0.00010293999999999581,9714.396735963091
8,20,20,0.002132600000000151,0.00010663000000000755,9378.223764418355
8,50,50,0.011051699999999887,0.00022103399999999772,4524.190848466798
8,100,100,0.012830600000000025,0.00012830600000000026,7793.867784826883
9,1,1,0.0001613999999998672,0.0001613999999998672,6195.786864936944
9,5,5,0.0008873000000000353,0.00017746000000000705,5635.0726924375085
9,10,10,0.0012969000000000452,0.0001296900000000045,7710.694733595228
9,20,20,0.0025847999999999427,0.00012923999999999713,7737.542556484233
9,50,50,0.005592900000000123,0.00011185800000000245,8939.905952189187
9,100,100,0.010711600000000043,0.00010711600000000043,9335.673475484484
10,1,1,0.00011910000000003862,0.00011910000000003862,8396.305625522047
10,5,5,0.0005258999999999681,0.00010517999999999361,9507.510933638152
10,10,10,0.0010258000000000767,0.00010258000000000767,9748.488984206719
10,20,20,0.001972900000000166,9.864500000000831e-05,10137.361244867107
10,50,50,0.0052058999999999855,0.00010411799999999971,9604.487216427542
10,100,100,0.011098000000000052,0.00011098000000000053,9010.632546404715
11,1,1,0.00012239999999996698,0.00012239999999996698,8169.93464052508
11,5,5,0.0005560000000000009,0.00011120000000000018,8992.805755395668
11,10,10,0.0010464999999999502,0.00010464999999999502,9555.661729575228
11,20,20,0.002118999999999982,0.0001059499999999991,9438.414346389887
11,50,50,0.005426500000000001,0.00010853000000000002,9214.042200313275
11,100,100,0.012235299999999949,0.0001223529999999995,8173.072993714941
12,1,1,0.00012230000000013064,0.00012230000000013064,8176.614881430351
12,5,5,0.0005325999999998832,0.00010651999999997664,9387.90837401633
12,10,10,0.0010375000000000245,0.00010375000000000245,9638.554216867242
12,20,20,0.002136299999999869,0.00010681499999999344,9361.980995179154
12,50,50,0.005678300000000025,0.0001135660000000005,8805.452336086466
12,100,100,0.011322100000000113,0.00011322100000000113,8832.28376361267
13,1,1,0.0001340000000000785,0.0001340000000000785,7462.686567159807
13,5,5,0.0005619999999999514,0.00011239999999999029,8896.79715302568
13,10,10,0.0011403999999999304,0.00011403999999999303,8768.853034023685
13,20,20,0.0022075999999999762,0.00011037999999999882,9059.612248595857
13,50,50,0.005431600000000092,0.00010863200000000184,9205.390676780167
13,100,100,0.010637599999999914,0.00010637599999999913,9400.616680454314
14,1,1,0.00011410000000000586,0.00011410000000000586,8764.241893075798
14,5,5,0.0005044999999999078,0.00010089999999998155,9910.802775026588
14,10,10,0.0010361999999999316,0.00010361999999999316,9650.64659332239
14,20,20,0.0021336000000000688,0.00010668000000000344,9373.828271465765
14,50,50,0.005361800000000194,0.00010723600000000388,9325.226603006115
14,100,100,0.011208200000000001,0.00011208200000000002,8922.039221284416
15,1,1,0.00013210000000007938,0.00013210000000007938,7570.022710063581
15,5,5,0.0005203000000000291,0.00010406000000000582,9609.84047664755
15,10,10,0.0010612000000000954,0.00010612000000000953,9423.2943837157
15,20,20,0.0022823999999999067,0.00011411999999999534,8762.705923589563
